Feature,Importance
ROI108_ROI139,0.001186088284250326
ROI18_ROI139,0.0009163718451714577
ROI120_ROI193,0.0008422382514859392
ROI2_ROI18,0.000723931202051757
ROI81_ROI139,0.0006659551838780968
ROI51_ROI138,0.0005964393563105783
ROI23_ROI193,0.0005926174481592318
ROI62_ROI162,0.0005838409652550279
ROI39_ROI100,0.0005643544799652102
ROI17_ROI153,0.0005582912350937805
ROI4_ROI31,0.0005533010492815118
ROI17_ROI87,0.0005480556567911388
ROI116_ROI182,0.0005182782797546486
ROI121_ROI196,0.0005179487577809873
ROI18_ROI77,0.0005049282998538521
ROI137_ROI147,0.0005040580629373763
ROI22_ROI66,0.0004977874013150813
ROI31_ROI132,0.00048395020630106805
ROI17_ROI65,0.000480455759892528
ROI28_ROI70,0.0004800391146942799
ROI98_ROI182,0.0004694291026587289
ROI16_ROI19,0.00046833881464342786
ROI31_ROI172,0.0004602838929741585
ROI123_ROI144,0.0004582263341170253
ROI17_ROI97,0.0004539962769605966
ROI10_ROI182,0.0004532237852986027
ROI19_ROI143,0.0004459196235273852
ROI31_ROI39,0.00044472448491444504
ROI93_ROI123,0.00044128711963593067
ROI103_ROI139,0.0004322904303969059
ROI31_ROI64,0.00043222467575174193
ROI31_ROI173,0.0004303133963554294
ROI108_ROI173,0.00042444648937260666
ROI145_ROI147,0.0004228408998738626
ROI104_ROI147,0.00041871706097605584
ROI77_ROI199,0.00041144309334083376
ROI50_ROI139,0.00040675663371897945
ROI124_ROI172,0.00039988568518541025
ROI139_ROI190,0.00039965667391939183
ROI17_ROI156,0.0003970971458782205
ROI71_ROI108,0.00038917346403221764
ROI116_ROI168,0.0003864481657508464
ROI71_ROI182,0.00038631129855086396
ROI162_ROI192,0.00038122437991111954
ROI28_ROI192,0.00038097053852228883
ROI46_ROI93,0.0003802082415585715
ROI4_ROI139,0.00037969208672136804
ROI23_ROI44,0.00037780013057569904
ROI99_ROI176,0.00037607393281704517
ROI114_ROI156,0.0003677099707941581
ROI55_ROI143,0.00036361958887823375
ROI184_ROI193,0.0003628445846429908
ROI7_ROI79,0.00036195591560837776
ROI106_ROI166,0.00035783810229994724
ROI106_ROI177,0.0003503993300251299
ROI81_ROI192,0.0003500490142490362
ROI147_ROI153,0.00034720633618085043
ROI98_ROI166,0.0003436092257566943
ROI138_ROI196,0.0003424472670123825
ROI167_ROI185,0.0003415266631785783
ROI192_ROI196,0.00034052408680737323
ROI144_ROI190,0.0003366465975114979
ROI29_ROI190,0.00033625451733954563
ROI22_ROI163,0.0003359193353141443
ROI18_ROI31,0.00033532995703103774
ROI100_ROI182,0.00033531606980603937
ROI78_ROI99,0.0003352300134066435
ROI154_ROI197,0.0003351368125121607
ROI86_ROI103,0.000335033222376831
ROI70_ROI162,0.00033414707563750713
ROI39_ROI51,0.00033264918692421587
ROI55_ROI73,0.0003322989242768426
ROI139_ROI146,0.0003313701829956667
ROI31_ROI140,0.00032932876218614307
ROI38_ROI123,0.00032919022183345984
ROI99_ROI155,0.0003269268765239775
ROI62_ROI167,0.0003268614618249509
ROI132_ROI139,0.00032119840292352795
ROI4_ROI71,0.0003189619566349228
ROI19_ROI163,0.00031877278684729315
ROI59_ROI119,0.00031867327534874495
ROI147_ROI149,0.0003171370686651008
ROI117_ROI174,0.00031513644757164407
ROI57_ROI108,0.0003147775949189472
ROI38_ROI154,0.0003139630104463246
ROI42_ROI192,0.0003105650090114524
ROI62_ROI155,0.0003067059388327146
ROI121_ROI190,0.0003062715147811412
ROI32_ROI153,0.00030600046100810876
ROI101_ROI107,0.00030558587021005103
ROI147_ROI171,0.0003055160253777565
ROI68_ROI182,0.00030382293384887744
ROI139_ROI173,0.00030347166669405276
ROI9_ROI30,0.00030312179501321786
ROI26_ROI41,0.00030252905498426584
ROI147_ROI156,0.00030203608905319266
ROI63_ROI66,0.0003014293746322247
ROI30_ROI99,0.0003001762323391718
ROI77_ROI150,0.00029927519357941253
ROI31_ROI55,0.0002982523178508491
ROI7_ROI35,0.00029749293061777235
ROI31_ROI81,0.00029697140784562374
ROI120_ROI128,0.00029660468604833225
ROI4_ROI100,0.0002944703293770693
ROI31_ROI146,0.00029396781250059964
ROI62_ROI196,0.00029395819863728607
ROI2_ROI31,0.0002923131995524372
ROI79_ROI143,0.00029199742222525276
ROI107_ROI194,0.0002909885721916241
ROI81_ROI82,0.0002889522852894787
ROI57_ROI173,0.00028853548051780754
ROI152_ROI199,0.00028809557985685967
ROI24_ROI183,0.0002863222225776277
ROI24_ROI66,0.00028550740850436597
ROI17_ROI106,0.0002850072612237375
ROI108_ROI190,0.0002848909226383593
ROI74_ROI123,0.0002846265109685097
ROI38_ROI75,0.0002839034524144413
ROI99_ROI166,0.0002838795256371572
ROI99_ROI188,0.00028286307788940505
ROI4_ROI29,0.0002819696257327553
ROI75_ROI99,0.0002812911309524974
ROI100_ROI192,0.00028110899440503316
ROI99_ROI124,0.0002807847471678021
ROI121_ROI192,0.0002804737606713917
ROI1_ROI67,0.00028026297725522865
ROI86_ROI178,0.00027928580646247427
ROI140_ROI195,0.00027915096643045783
ROI99_ROI178,0.00027840043044917304
ROI75_ROI192,0.00027798822644240206
ROI4_ROI108,0.00027773152765552905
ROI61_ROI75,0.000277372022111555
ROI17_ROI149,0.0002753793774336619
ROI38_ROI113,0.00027335414522121327
ROI10_ROI123,0.0002732310841980741
ROI92_ROI115,0.0002722235139334571
ROI77_ROI81,0.0002721841646348431
ROI121_ROI173,0.00027197751301362346
ROI52_ROI55,0.0002714752844767627
ROI99_ROI169,0.000270423879748064
ROI21_ROI71,0.0002698957856439057
ROI151_ROI166,0.00026955279513663215
ROI147_ROI178,0.0002682425129768809
ROI98_ROI196,0.00026725556205772695
ROI49_ROI163,0.0002670246593577014
ROI41_ROI119,0.00026652738305637456
ROI152_ROI196,0.0002652918932975689
ROI27_ROI119,0.0002628560906521533
ROI103_ROI173,0.0002626451953323871
ROI34_ROI125,0.000262238595063927
ROI35_ROI59,0.00026220750998452583
ROI29_ROI75,0.0002617829657990953
ROI17_ROI23,0.0002603701180721315
ROI136_ROI193,0.00026025313899053165
ROI47_ROI97,0.00026013603979040004
ROI17_ROI27,0.00025987242532866294
ROI12_ROI70,0.00025936608710101046
ROI18_ROI138,0.00025740056854943027
ROI98_ROI155,0.0002573906992224269
ROI106_ROI119,0.00025679824884168736
ROI26_ROI123,0.00025574222434599907
ROI119_ROI157,0.0002555569627380663
ROI81_ROI127,0.0002553898772864902
ROI39_ROI175,0.0002551127543562385
ROI17_ROI152,0.00025310826438326944
ROI147_ROI187,0.0002530947220007575
ROI45_ROI139,0.00025250875161534947
ROI98_ROI126,0.00025239499612875573
